addProduct,2020-09-17T14:35:37.901Z
addProduct,2020-09-17T14:35:52.239Z
addClient,2020-09-17T14:36:08.930Z
addCashier,2020-09-17T14:36:21.433Z
addTransaction,2020-09-17T14:36:45.155Z
showTransactions,2020-09-17T14:36:50.594Z
showMoney,2020-09-17T14:37:05.181Z
clearTransactionHistory,2020-09-17T14:37:22.572Z
